Parent,Region,Organization,County,Mission/Goals,,Website,Contact Person,Email,Phone,xpos,ypos
Regional Planning Initiative,9,East Indiana Area Health Education Center (Ohio),Ohio,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.eiahec.org/,Rhonda Savage,rhonda.savage@eiahec.org,812-212-3210,873.2070351,940.0496806
Regional Planning Initiative,9,East Indiana Area Health Education Center (Ripley),Ripley,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.eiahec.org/,Rhonda Savage,rhonda.savage@eiahec.org,812-212-3210,1154.711803,1081.515084
Regional Planning Initiative,6,East Indiana Area Health Education Center (Rush),Rush,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.eiahec.org/,Rhonda Savage,rhonda.savage@eiahec.org,812-212-3210,1142.336355,695.6361365
Regional Planning Initiative,9,East Indiana Area Health Education Center (Switzerland),Switzerland,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.eiahec.org/,Rhonda Savage,rhonda.savage@eiahec.org,812-212-3210,1055.630311,1053.856681
Regional Planning Initiative,6,East Indiana Area Health Education Center (Union),Union,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.eiahec.org/,Rhonda Savage,rhonda.savage@eiahec.org,812-212-3210,938.7801758,695.1049026
Regional Planning Initiative,6,East Indiana Area Health Education Center (Wayne),Wayne,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.eiahec.org/,Rhonda Savage,rhonda.savage@eiahec.org,812-212-3210,840.1361608,687.5854604
Regional Planning Initiative,9,EcO15 (Bartholomew),Bartholomew,Economic Opportunities through Education by 2015 (EcO15)ÿis creating a regional system of life-long learning by connecting the residents of ten counties within rural Southeast Indiana to better economic opportunities through education by the year 2015 and beyond.ÿ,,http://www.eco15.org/,Not readily available,Not readily available,Not readily available,1022.763556,1015.386905
Regional Planning Initiative,9,EcO15 (Dearborn),Dearborn,Economic Opportunities through Education by 2015 (EcO15)ÿis creating a regional system of life-long learning by connecting the residents of ten counties within rural Southeast Indiana to better economic opportunities through education by the year 2015 and beyond.ÿ,,http://www.eco15.org/,Not readily available,Not readily available,Not readily available,1214.298112,1005.648876
Regional Planning Initiative,9,EcO15 (Decatur),Decatur,Economic Opportunities through Education by 2015 (EcO15)ÿis creating a regional system of life-long learning by connecting the residents of ten counties within rural Southeast Indiana to better economic opportunities through education by the year 2015 and beyond.ÿ,,http://www.eco15.org/,Not readily available,Not readily available,Not readily available,1169.030365,1020.484069
Regional Planning Initiative,9,EcO15 (Franklin),Franklin,Economic Opportunities through Education by 2015 (EcO15)ÿis creating a regional system of life-long learning by connecting the residents of ten counties within rural Southeast Indiana to better economic opportunities through education by the year 2015 and beyond.ÿ,,http://www.eco15.org/,Not readily available,Not readily available,Not readily available,1073.097895,1001.798881
Regional Planning Initiative,9,EcO15 (Jackson),Jackson,Economic Opportunities through Education by 2015 (EcO15)ÿis creating a regional system of life-long learning by connecting the residents of ten counties within rural Southeast Indiana to better economic opportunities through education by the year 2015 and beyond.ÿ,,http://www.eco15.org/,Not readily available,Not readily available,Not readily available,1226.2809,1080.55863
Regional Planning Initiative,9,EcO15 (Jefferson),Jefferson,Economic Opportunities through Education by 2015 (EcO15)ÿis creating a regional system of life-long learning by connecting the residents of ten counties within rural Southeast Indiana to better economic opportunities through education by the year 2015 and beyond.ÿ,,http://www.eco15.org/,Not readily available,Not readily available,Not readily available,981.3029757,971.7134686
Regional Planning Initiative,9,EcO15 (Jennings),Jennings,Economic Opportunities through Education by 2015 (EcO15)ÿis creating a regional system of life-long learning by connecting the residents of ten counties within rural Southeast Indiana to better economic opportunities through education by the year 2015 and beyond.ÿ,,http://www.eco15.org/,Not readily available,Not readily available,Not readily available,1239.303972,1044.372337
Regional Planning Initiative,9,EcO15 (Ohio),Ohio,Economic Opportunities through Education by 2015 (EcO15)ÿis creating a regional system of life-long learning by connecting the residents of ten counties within rural Southeast Indiana to better economic opportunities through education by the year 2015 and beyond.ÿ,,http://www.eco15.org/,Not readily available,Not readily available,Not readily available,928.3209314,978.4789653
Regional Planning Initiative,9,EcO15 (Ripley),Ripley,Economic Opportunities through Education by 2015 (EcO15)ÿis creating a regional system of life-long learning by connecting the residents of ten counties within rural Southeast Indiana to better economic opportunities through education by the year 2015 and beyond.ÿ,,http://www.eco15.org/,Not readily available,Not readily available,Not readily available,1192.597671,1052.925904
Regional Planning Initiative,9,EcO15 (Switzerland),Switzerland,Economic Opportunities through Education by 2015 (EcO15)ÿis creating a regional system of life-long learning by connecting the residents of ten counties within rural Southeast Indiana to better economic opportunities through education by the year 2015 and beyond.ÿ,,http://www.eco15.org/,Not readily available,Not readily available,Not readily available,1114.122929,1029.307326
Community Foundation,9,Franklin County Community Foundation Inc.,Franklin,Not Readily Available,,http://www.franklincountyindiana.info/,"Shelly Lunsford, Executive Director",fcfoundation@yahoo.com,765.647.6810,489.415909,495.4130893
Community Foundation,9,Heritage Fund: The Community Foundation of Bartholomew County,Bartholomew,Heritage Fund - the Community Foundation of Bartholomew County is created primarily to: Provide responsible stewardship of gifts donated for broad charitable purposes;Develop leadership to address community issues;Serve as a catalyst for positive change in partnership with others; Promote philanthropy broadly within the community,,http://www.heritagefundbc.com/,"Lyn Morgan, Program Officer",info@heritagefundbc.org,812-376-7772,585.2973219,526.5131254
Community Foundation,9,Jennings County Community Foundation Inc.,Jennings,"Our Missionÿis to develop endowments that will greatly improve the quality of life for Jennings County residents in perpetuity; to provide responsible stewardship of those gifts; to promote leadership in addressing community issues; and to make grants in the fields of community service, social service, education, and the arts.ÿ",,http://www.jenningsfoundation.net/,"Barb Shaw, Executive Director",jccf@jeningsfoundation.net,812-346-5553,487.5376402,428.7391459
Community Foundation,9,Ohio County Community Foundation Inc.,Ohio,"The mission of the Ohio County Community Foundation is to build, manage and distribute a lasting source ofÿ charitable resources for Ohio County.",,http://www.occfrisingsun.com/hist.html,Peggy Dickson,pdickson@occfrisingsun.com,812-438-9401,569.9070389,378.1630996
Regional Works Council,9,Region 9 Works Council (Bartholomew),Bartholomew,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region9/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,470.5469746,1025.356744
Regional Works Council,9,Region 9 Works Council (Dearborn),Dearborn,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region9/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,388.7624769,1024.860205
Regional Works Council,9,Region 9 Works Council (Decatur),Decatur,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region9/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,401.6360294,1144.175393
Regional Works Council,9,Region 9 Works Council (Franklin),Franklin,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region9/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,388.5254866,984.4295134
Regional Works Council,9,Region 9 Works Council (Jackson),Jackson,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region9/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,456.0866965,1178.836145
Regional Works Council,9,Region 9 Works Council (Jefferson),Jefferson,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region9/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,479.4552463,1108.184958
Regional Works Council,9,Region 9 Works Council (Jennings),Jennings,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region9/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,362.5382163,1062.261144
Regional Works Council,9,Region 9 Works Council (Ohio),Ohio,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region9/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,484.9055974,1143.324245
Regional Works Council,9,Region 9 Works Council (Ripley),Ripley,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region9/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,392.6262008,1110.298063
Regional Works Council,9,Region 9 Works Council (Switzerland),Switzerland,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region9/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,461.4669459,1067.83723
Community Foundation,9,Ripley County Community Foundation Inc.,Ripley,"The Community Foundation helps people of all means improve their community now and in the future.ÿ A public foundation, we help donors provide grantmaking dollars for non-profit organizations that serve Ripley County citizens.",,http://rccfonline.org/,Not Readily Available,rccfound@etczone.com,812-933-1098,492.2031419,544.4701061
Workforce Investment Board,9,Southeast Indiana Workforce Board (Bartholomew),Bartholomew,Our mission is to help Hoosiers in Southeast Indiana find and grow in careers that are productive and fulfilling as well as to help employers find the qualified personnel they need to be successful.,,http://workonesoutheast.org/,Not Readily Available,askworkone.in.gov,1-800-891-6499,913.8887735,441.6899496
Workforce Investment Board,9,Southeast Indiana Workforce Board (Dearborn),Dearborn,Our mission is to help Hoosiers in Southeast Indiana find and grow in careers that are productive and fulfilling as well as to help employers find the qualified personnel they need to be successful.,,http://workonesoutheast.org/,Not Readily Available,askworkone.in.gov,1-800-891-6499,975.9544258,501.6457278
Workforce Investment Board,9,Southeast Indiana Workforce Board (Decatur),Decatur,Our mission is to help Hoosiers in Southeast Indiana find and grow in careers that are productive and fulfilling as well as to help employers find the qualified personnel they need to be successful.,,http://workonesoutheast.org/,Not Readily Available,askworkone.in.gov,1-800-891-6499,897.6516797,406.4847675
Workforce Investment Board,9,Southeast Indiana Workforce Board (Franklin),Franklin,Our mission is to help Hoosiers in Southeast Indiana find and grow in careers that are productive and fulfilling as well as to help employers find the qualified personnel they need to be successful.,,http://workonesoutheast.org/,Not Readily Available,askworkone.in.gov,1-800-891-6499,905.8863096,525.9133846
Workforce Investment Board,9,Southeast Indiana Workforce Board (Jackson),Jackson,Our mission is to help Hoosiers in Southeast Indiana find and grow in careers that are productive and fulfilling as well as to help employers find the qualified personnel they need to be successful.,,http://workonesoutheast.org/,Not Readily Available,askworkone.in.gov,1-800-891-6499,1093.57775,391.3736116
Workforce Investment Board,9,Southeast Indiana Workforce Board (Jefferson),Jefferson,Our mission is to help Hoosiers in Southeast Indiana find and grow in careers that are productive and fulfilling as well as to help employers find the qualified personnel they need to be successful.,,http://workonesoutheast.org/,Not Readily Available,askworkone.in.gov,1-800-891-6499,1001.793626,459.523489
Workforce Investment Board,9,Southeast Indiana Workforce Board (Jennings),Jennings,Our mission is to help Hoosiers in Southeast Indiana find and grow in careers that are productive and fulfilling as well as to help employers find the qualified personnel they need to be successful.,,http://workonesoutheast.org/,Not Readily Available,askworkone.in.gov,1-800-891-6499,987.6618148,406.5311504
Workforce Investment Board,9,Southeast Indiana Workforce Board (Ohio),Ohio,Our mission is to help Hoosiers in Southeast Indiana find and grow in careers that are productive and fulfilling as well as to help employers find the qualified personnel they need to be successful.,,http://workonesoutheast.org/,Not Readily Available,askworkone.in.gov,1-800-891-6499,895.9920565,480.4656735
Workforce Investment Board,9,Southeast Indiana Workforce Board (Ripley),Ripley,Our mission is to help Hoosiers in Southeast Indiana find and grow in careers that are productive and fulfilling as well as to help employers find the qualified personnel they need to be successful.,,http://workonesoutheast.org/,Not Readily Available,askworkone.in.gov,1-800-891-6499,868.7305805,564.0456171
Workforce Investment Board,9,Southeast Indiana Workforce Board (Switzerland),Switzerland,Our mission is to help Hoosiers in Southeast Indiana find and grow in careers that are productive and fulfilling as well as to help employers find the qualified personnel they need to be successful.,,http://workonesoutheast.org/,Not Readily Available,askworkone.in.gov,1-800-891-6499,1069.99682,425.6415286
Community Foundation,9,The Community Foundation of Jackson County,Jackson,To promote philanthropy in Jackson County,,http://www.cfjacksoncounty.org/,"C.W. Walther, President/CEO",info@cfjacksoncounty.org,812-523-4483,570.8459141,476.3938985
Community Foundation,9,The Greater Cincinnati Foundation,Dearborn,Not Readily Available,,http://www.gcfdn.org/,"Kay Pennington, Community Investment Coordinator",penningtonk@greatercincinnatifdn.org,513-241-2880,557.9889514,334.051421
Regional School Age Program,9,Out-of-School Coalition of Bartholomew County,Bartholomew,"IAN engages cities and regions in creating coordinated systems to expand out-of-school time learning for K-12 youth in Indiana. These community coalitions connect youth programs, schools and universities, faith based groups, and civic and businesses. IAN uses coalition-building frameworks developed by the Columbus Education Coalition / Institute for Coalition Building and the Wallace Foundation.",,http://www.indianaafterschool.org/state/regional-coalitions/,,,,74.20772941,140.3778272
Regional Works Council,10,Region 10 Works Council (Washington),Washington,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region10/index.htm,Not Readily Available,Not Readily Available,n/a,155.3739177,1291.040686
Regional Works Council,10,Region 10 Works Council (Scott),Scott,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region10/index.htm,Not Readily Available,Not Readily Available,n/a,153.5170345,1332.981341
Regional Works Council,10,Region 10 Works Council (Clark),Clark,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region10/index.htm,Not Readily Available,Not Readily Available,n/a,170.6010885,1252.092617
Regional Works Council,10,Region 10 Works Council (Floyd),Floyd,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region10/index.htm,Not Readily Available,Not Readily Available,n/a,60.12373226,1322.856424
Regional Works Council,10,Region 10 Works Council (Harrison),Harrison,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region10/index.htm,Not Readily Available,Not Readily Available,n/a,78.20627075,1234.326335
Regional Works Council,10,Region 10 Works Council (Crawford),Crawford,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region10/index.htm,Not Readily Available,Not Readily Available,n/a,62.51639437,1270.217055
Workforce Investment Board,10,Workforce Region 10 (Washington),Washington,Not Readily Available,,http://www.workoneregion10.com/,Not Readily Available,Not Readily Available,n/a,1049.191134,150.7003382
Workforce Investment Board,10,Workforce Region 10 (Scott),Scott,Not Readily Available,,http://www.workoneregion10.com/,Not Readily Available,Not Readily Available,n/a,1233.783836,200.8251143
Workforce Investment Board,10,Workforce Region 10 (Clark),Clark,Not Readily Available,,http://www.workoneregion10.com/,Not Readily Available,Not Readily Available,n/a,1269.429418,169.9043813
Workforce Investment Board,10,Workforce Region 10 (Floyd),Floyd,Not Readily Available,,http://www.workoneregion10.com/,Not Readily Available,Not Readily Available,n/a,1191.748873,140.4920767
Workforce Investment Board,10,Workforce Region 10 (Harrison),Harrison,Not Readily Available,,http://www.workoneregion10.com/,Not Readily Available,Not Readily Available,n/a,1153.254265,167.5088994
Workforce Investment Board,10,Workforce Region 10 (Crawford),Crawford,Not Readily Available,,http://www.workoneregion10.com/,Not Readily Available,Not Readily Available,n/a,1152.207001,221.0592311
Community Foundation,10,Community Foundation of Crawford County,Crawford,Not Readily Available,,http://www.cf-cc.org/,Bonita Embry Coots,becoots@cf-cc.org,812-633-2077,344.6103145,331.7642939
Community Foundation,10,Community Foundation of Southern Indiana (Clark),Clark,"To build enduring charitable resources used to positively impact our community by:Serving as a partner and resource for donors, their advisors, and area nonprofits.
- Making it simple for donors to fulfill their individual goals in giving back.
- Providing stewardship of donor gifts and charitable intent for generations to come.
- Fulfilling a leadership role on important community issues",,http://cfsouthernindiana.com/,"Crystal Gunther, Grants & Programs Officer",cgunther@cfsouthernindiana.com,812-948-4662,233.9807047,479.7105043
Community Foundation,10,Community Foundation of Southern Indiana (Floyd),Floyd,"To build enduring charitable resources used to positively impact our community by:Serving as a partner and resource for donors, their advisors, and area nonprofits.
- Making it simple for donors to fulfill their individual goals in giving back.
- Providing stewardship of donor gifts and charitable intent for generations to come.
- Fulfilling a leadership role on important community issues",,http://cfsouthernindiana.com/,"Crystal Gunther, Grants & Programs Officer",cgunther@cfsouthernindiana.com,812-948-4662,325.6053244,465.5184173
Community Foundation,10,Community Foundation of Southern Indiana (Harrison),Harrison,"To build enduring charitable resources used to positively impact our community by:Serving as a partner and resource for donors, their advisors, and area nonprofits.
- Making it simple for donors to fulfill their individual goals in giving back.
- Providing stewardship of donor gifts and charitable intent for generations to come.
- Fulfilling a leadership role on important community issues",,http://cfsouthernindiana.com/,"Crystal Gunther, Grants & Programs Officer",cgunther@cfsouthernindiana.com,812-948-4662,293.4975792,367.9400057
Community Foundation,10,Harrison County Community Foundation,Harrison,"We are a public foundation established for the receipt of donations and the distribution of income from permanent endowment funds for the philanthropic purposes of Harrison County, Indiana",,http://www.hccfindiana.org/,"Steve Gilliland, Executive Director",steveg@hccfindiana.org,812-738-6668,358.0006552,415.8877985
Community Foundation,10,Scott County Community Foundation,Scott,?Growing and preserving charitable gifts to strengthen Scott County by looking forward and giving back.,,http://www.scottcountyfoundation.org/,"L.L. Lowry, Executive Director",info@scottcountyfoundation.org,812-752-2057,284.1452551,431.0275398
Community Foundation,10,The Washington County Community Foundation Inc.,Washington,Not Readily Available,,http://www.wccf.biz/,"Judy Johnson, Executive Director",director@wccf.biz,812-883-7334,363.7294262,292.888773
Regional Works Council,11,Region 11 Works Council (Knox),Knox,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region11/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,163.0655981,992.3234831
Regional Works Council,11,Region 11 Works Council (Gibson),Gibson,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region11/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,126.4487081,869.3756268
Regional Works Council,11,Region 11 Works Council (Pike),Pike,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region11/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,53.66614614,940.9019357
Regional Works Council,11,Region 11 Works Council (Dubois),Dubois,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region11/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,52.33848672,773.8495948
Regional Works Council,11,Region 11 Works Council (Posey),Posey,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region11/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,63.65898384,984.8829793
Regional Works Council,11,Region 11 Works Council (Vanderburgh),Vanderburgh,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region11/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,134.1800201,928.9116021
Regional Works Council,11,Region 11 Works Council (Warrick),Warrick,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region11/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,84.09780899,812.9724743
Regional Works Council,11,Region 11 Works Council (Spencer),Spencer,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region11/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,57.43920476,894.7931273
Regional Works Council,11,Region 11 Works Council (Perry),Perry,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region11/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,58.23005158,843.25427
Workforce Investment Board,11,Workone Southwest (Knox),Knox,Not Readily Available,,http://workonesouthwest.com/regional-workforce-board,Not Readily Available,Not Readily Available,Not Readily Available,870.7308521,262.2486131
Workforce Investment Board,11,Workone Southwest (Gibson),Gibson,Not Readily Available,,http://workonesouthwest.com/regional-workforce-board,Not Readily Available,Not Readily Available,Not Readily Available,941.5060769,256.3345411
Workforce Investment Board,11,Workone Southwest (Pike),Pike,Not Readily Available,,http://workonesouthwest.com/regional-workforce-board,Not Readily Available,Not Readily Available,Not Readily Available,965.353298,163.9012978
Workforce Investment Board,11,Workone Southwest (Dubois),Dubois,Not Readily Available,,http://workonesouthwest.com/regional-workforce-board,Not Readily Available,Not Readily Available,Not Readily Available,959.5827658,218.9941077
Workforce Investment Board,11,Workone Southwest (Posey),Posey,Not Readily Available,,http://workonesouthwest.com/regional-workforce-board,Not Readily Available,Not Readily Available,Not Readily Available,909.9458754,146.9444627
Workforce Investment Board,11,Workone Southwest (Vanderburgh),Vanderburgh,Not Readily Available,,http://workonesouthwest.com/regional-workforce-board,Not Readily Available,Not Readily Available,Not Readily Available,854.8585356,220.8742895
Workforce Investment Board,11,Workone Southwest (Warrick),Warrick,Not Readily Available,,http://workonesouthwest.com/regional-workforce-board,Not Readily Available,Not Readily Available,Not Readily Available,1076.980541,190.6833057
Workforce Investment Board,11,Workone Southwest (Spencer),Spencer,Not Readily Available,,http://workonesouthwest.com/regional-workforce-board,Not Readily Available,Not Readily Available,Not Readily Available,1015.623786,191.1317344
Workforce Investment Board,11,Workone Southwest (Perry),Perry,Not Readily Available,,http://workonesouthwest.com/regional-workforce-board,Not Readily Available,Not Readily Available,Not Readily Available,922.9573437,185.3542898
Community Foundation,8,Community Foundation Alliance (Daviess),Daviess,"The Community Foundation Alliance is a network of nine community foundations serving counties in southwestern Indiana. ÿThe Alliance Central Office provides efficiencies on operations such as technology, accounting, investment management and other administrative functions by collectively handling these and other tasks for all Alliance Partners. This collaboration provides management and administrative expertise to Alliance partner county community foundations, working with each to promote philanthropy, build endowment and improve well-being in our local communities.",,http://www.alliance9.org/,Marilyn Klenck,info@alliance9.org,812-429-1191,423.2246692,466.8837032
Community Foundation,11,Community Foundation Alliance (Gibson),Gibson,"The Community Foundation Alliance is a network of nine community foundations serving counties in southwestern Indiana. ÿThe Alliance Central Office provides efficiencies on operations such as technology, accounting, investment management and other administrative functions by collectively handling these and other tasks for all Alliance Partners. This collaboration provides management and administrative expertise to Alliance partner county community foundations, working with each to promote philanthropy, build endowment and improve well-being in our local communities.",,http://www.alliance9.org/,Marilyn Klenck,info@alliance9.org,812-429-1191,351.3848362,243.0968559
Community Foundation,11,Community Foundation Alliance (Knox),Knox,"The Community Foundation Alliance is a network of nine community foundations serving counties in southwestern Indiana. ÿThe Alliance Central Office provides efficiencies on operations such as technology, accounting, investment management and other administrative functions by collectively handling these and other tasks for all Alliance Partners. This collaboration provides management and administrative expertise to Alliance partner county community foundations, working with each to promote philanthropy, build endowment and improve well-being in our local communities.",,http://www.alliance9.org/,Marilyn Klenck,info@alliance9.org,812-429-1191,389.4432528,87.92236688
Community Foundation,11,Community Foundation Alliance (Perry),Perry,"The Community Foundation Alliance is a network of nine community foundations serving counties in southwestern Indiana. ÿThe Alliance Central Office provides efficiencies on operations such as technology, accounting, investment management and other administrative functions by collectively handling these and other tasks for all Alliance Partners. This collaboration provides management and administrative expertise to Alliance partner county community foundations, working with each to promote philanthropy, build endowment and improve well-being in our local communities.",,http://www.alliance9.org/,Marilyn Klenck,info@alliance9.org,812-429-1191,444.4968311,178.6656846
Community Foundation,11,Community Foundation Alliance (Pike),Pike,"The Community Foundation Alliance is a network of nine community foundations serving counties in southwestern Indiana. ÿThe Alliance Central Office provides efficiencies on operations such as technology, accounting, investment management and other administrative functions by collectively handling these and other tasks for all Alliance Partners. This collaboration provides management and administrative expertise to Alliance partner county community foundations, working with each to promote philanthropy, build endowment and improve well-being in our local communities.",,http://www.alliance9.org/,Marilyn Klenck,info@alliance9.org,812-429-1191,296.8343903,95.01490671
Community Foundation,11,Community Foundation Alliance (Posey),Posey,"The Community Foundation Alliance is a network of nine community foundations serving counties in southwestern Indiana. ÿThe Alliance Central Office provides efficiencies on operations such as technology, accounting, investment management and other administrative functions by collectively handling these and other tasks for all Alliance Partners. This collaboration provides management and administrative expertise to Alliance partner county community foundations, working with each to promote philanthropy, build endowment and improve well-being in our local communities.",,http://www.alliance9.org/,Marilyn Klenck,info@alliance9.org,812-429-1191,391.3794965,208.7626508
Community Foundation,11,Community Foundation Alliance (Spencer),Spencer,"The Community Foundation Alliance is a network of nine community foundations serving counties in southwestern Indiana. ÿThe Alliance Central Office provides efficiencies on operations such as technology, accounting, investment management and other administrative functions by collectively handling these and other tasks for all Alliance Partners. This collaboration provides management and administrative expertise to Alliance partner county community foundations, working with each to promote philanthropy, build endowment and improve well-being in our local communities.",,http://www.alliance9.org/,Marilyn Klenck,info@alliance9.org,812-429-1191,357.1770297,166.0828305
Community Foundation,11,Community Foundation Alliance (Vanderburgh),Vanderburgh,"The Community Foundation Alliance is a network of nine community foundations serving counties in southwestern Indiana. ÿThe Alliance Central Office provides efficiencies on operations such as technology, accounting, investment management and other administrative functions by collectively handling these and other tasks for all Alliance Partners. This collaboration provides management and administrative expertise to Alliance partner county community foundations, working with each to promote philanthropy, build endowment and improve well-being in our local communities.",,http://www.alliance9.org/,Marilyn Klenck,info@alliance9.org,812-429-1191,356.3367596,125.0309496
Community Foundation,11,Community Foundation Alliance (Warrick),Warrick,"The Community Foundation Alliance is a network of nine community foundations serving counties in southwestern Indiana. ÿThe Alliance Central Office provides efficiencies on operations such as technology, accounting, investment management and other administrative functions by collectively handling these and other tasks for all Alliance Partners. This collaboration provides management and administrative expertise to Alliance partner county community foundations, working with each to promote philanthropy, build endowment and improve well-being in our local communities.",,http://www.alliance9.org/,Marilyn Klenck,info@alliance9.org,812-429-1191,347.5415096,54.57940712
Community Foundation,11,Dubois County Community Foundation Inc. ,Dubois,The Community Foundation is dedicated to helping you make a lasting difference in Dubois County,,http://www.dccommunityfoundation.org/,"Brad Ward, Chief Executive Officer",foundation@huntingburg.org,812-482-5295,439.9057396,129.8591617
